IMP,Year,Shipping_From,Ship_via,Customer,FLT#/Vessle#,Original_Need_Date,CEB_authorized_date,Forwarder,Gross_weight(kg),Pickup_day,ETD_port,ETA_Santos_or_VCP,Sailing_TAT,DI_register_date,Customs_clearance_date,Clearance_TAT,KPI_expect_arrive_CEB_date,FIRM_ARRIVAL_on_CEB,CEB_LGC_estimated_receiving_date,Door_to_Door_TAT,International_Transportation_Cost_(USD),Channel
BSP1900545,2019,Miami,Air,A31,ATLAS,07/17/19,07/16/19,EI,19.5,07/16/19,07/16/19,07/17/19,1,07/18/19,07/18/19,1,07/16/19,07/18/19,07/19/19,2,599.26,Green
BSP1900544,2019,SGN,Air,ABO,FEDEX,07/20/19,07/16/19,FEDEX,8.23,07/16/19,07/16/19,07/17/19,1,07/18/19,07/18/19,1,07/16/19,07/18/19,07/19/19,2,123.41,Green
BSP1900543,2019,SGN,Air,ABO,FEDEX,07/20/19,07/16/19,FEDEX,20.5,07/16/19,07/16/19,07/17/19,1,07/18/19,07/18/19,1,07/16/19,07/18/19,07/19/19,2,236.88,Green
BSP1900542,2019,Miami,Air,A31,ATLAS,07/16/19,07/15/19,EI,16,07/15/19,07/15/19,07/16/19,1,07/17/19,07/17/19,1,07/15/19,07/17/19,07/19/19,2,599.26,Green
IMP1900536,2019,CD,Air,A31_Wistron,KLM,43504,43776,Weida,4,43806,07/15/19,07/17/19,5,07/17/19,07/17/19,0,43806,07/17/19,07/19/19,5,530,Green
BSP1900524,2019,CTU,Air,ABO,FEDEX,07/15/19,43776,FEDEX,12.85,43684,43715,07/17/19,9,07/18/19,07/18/19,1,43684,07/18/19,07/19/19,10,198.5,Green
BSP1900531,2019,HKG,Air,ABO,KLM,07/25/19,43745,Agility,1234.5,43806,07/15/19,07/17/19,5,07/17/19,07/17/19,0,43806,07/17/19,07/19/19,5,7073.69,Green
BSP1900530,2019,SGN,Air,ABO,FEDEX,,43745,FEDEX,10.05,43745,43745,43806,2,07/15/19,07/15/19,3,43745,07/15/19,07/15/19,5,123.41,Green
BSP1900527,2019,CTU,Air,ABO,FEDEX,07/15/19,43684,FEDEX,89.57,43684,43684,43806,4,07/15/19,07/15/19,3,43684,07/15/19,07/15/19,7,1107.9,Green
BSP1900523,2019,SGN,Air,ABO,FEDEX,07/15/19,43684,FEDEX,28.7,43684,43715,43776,3,43806,43806,1,43684,43806,07/17/19,4,245.34,Green
BSP1900522,2019,Miami,Air,A31,ATLAS,43745,43745,EI,13,43715,43745,43745,1,43776,43776,1,43715,43776,43806,2,599.26,Green
BSP1900521,2019,SGN,Air,ABO,FEDEX,43745,43745,FEDEX,14.8,43592,43653,43684,3,43745,43745,2,43592,43745,43776,5,142.66,Green
BSP1900520,2019,SGN,Air,ABO,,43745,43745,FEDEX,8.5,43592,43592,43684,3,43745,43745,2,43592,43745,43776,5,186.12,Green
BSP1900518,2019,Miami,Air,A31,ATLAS,43745,43745,EI,30,43715,43745,43745,1,43776,43776,1,43715,43776,43806,2,633.9,Green
IMP1900516,2019,CTU,Air,A31,KLM,07/22/19,43745,Weida,2.5,43806,07/15/19,07/17/19,5,07/17/19,07/17/19,0,43806,07/17/19,07/24/19,5,530,Green
BSP1900517,2019,CKG,Air,ABO,KLM,07/15/19,43592,Weida,74.4,43684,43745,43806,4,43806,43806,0,43684,43806,07/15/19,4,1336.88,Green
BSP1900515,2019,CTU,Air,ABO,FEDEX,43745,43562,FEDEX,8.88,43562,43592,43684,4,43745,43745,2,43562,43745,07/17/19,6,191.45,Green
BSP1900514,2019,CTU,Air,ABO,FEDEX,43745,43562,FEDEX,20.57,43562,43592,43684,4,43745,43745,2,43562,43745,07/17/19,6,293.32,Green
BSP1900511,2019,Wuxi,Air,ABO,FEDEX,43592,43531,FEDEX,6.4,43562,43623,43684,4,43745,43745,2,43562,43745,07/17/19,6,136.31,Green
BSP1900510,2019,HKG,Air,ABO,LATAM,43806,43531,Agility,1267.5,43592,43592,43776,6,43806,43806,1,43592,43806,07/15/19,7,7262.78,Green
BSP1900509,2019,SGN,Air,ABO,FEDEX,43592,43531,FEDEX,9.85,43503,43531,43592,3,43592,43592,0,43503,43592,43806,3,123.41,Green
IMP1900512,2019,CQ,Air,ABO,KLM,07/19/19,43531,Weida,1051,43562,43653,43806,8,43806,43806,0,43562,43806,07/15/19,8,12813.9,Green
BSP1900498,2019,Miami,Air,ABO,FEDEX,43562,43503,FEDEX,1.36,43503,43503,43592,3,43562,43562,1,43503,43562,43806,2,27.83,Green
BSP1900508,2019,Miami,Air,A31,ATLAS,43503,43503,EI,37,43472,43503,43503,1,43531,43531,1,43472,43531,43562,2,633.9,Green
BSP1900507,2019,Miami,Air,A31,ATLAS,43503,43503,EI,60.5,43472,43503,43503,1,43531,43531,1,43472,43531,43562,2,633.9,Green
BSP1900506,2019,Miami,Air,A31,ATLAS,43503,43503,EI,55.5,43472,43503,43503,1,43531,43531,1,43472,43531,43562,2,633.9,Green
BSP1900505,2019,Miami,Air,A31,ATLAS,43503,43503,EI,56.5,43472,43503,43503,1,43531,43531,1,43472,43531,43562,2,633.9,Green
IMP1900504,2019,Shanghai,Air,ABO_Quanta,LUFTHANSA,43745,43472,DHL,0.55,43503,43531,43776,9,43806,43806,1,43503,43806,07/15/19,10,251.13,Green
BSP1900503,2019,CTU,Air,ABO,FEDEX,43592,43472,FEDEX,10.93,43472,43503,43592,4,43592,43592,0,43472,43592,43806,4,293.32,Green
BSP1900502,2019,CTU,Air,ABO,FEDEX,43592,43472,FEDEX,9.17,43472,43503,43592,4,43592,43592,0,43472,43592,43806,4,293.32,Green
BSP1900501,2019,CTU,Air,ABO,FEDEX,43592,43472,FEDEX,52.63,43472,43503,43592,4,43592,43592,0,43472,43592,43806,4,677.97,Green
BSP1900500,2019,CTU,Air,ABO,FEDEX,43592,43472,FEDEX,5.93,43472,43503,43592,4,43592,43592,0,43472,43592,43806,4,191.45,Green
BSP1900497,2019,Miami,Air,A31,,06/26/19,06/29/19,EI,25.5,06/29/19,06/30/19,06/30/19,1,43472,43472,1,06/29/19,43472,43503,2,633.9,Green
IMP1900491,2019,CD,Air,A31_Wistron,KLM,07/15/19,06/28/19,Weida,28,43503,43653,43806,10,43806,43806,0,43503,43806,07/15/19,10,629.35,Green
IMP1900481,2019,CD,Air,A31_Wistron,KLM,43806,06/25/19,Weida,208,06/26/19,06/28/19,43592,9,43592,43592,0,06/26/19,43592,43745,9,2018.76,Green
BSP1900488,2019,SGN,Air,ABO,FEDEX,06/28/19,06/25/19,FEDEX,10.9,06/24/19,06/25/19,06/28/19,4,06/28/19,06/28/19,0,06/24/19,06/28/19,43531,4,123.41,Green
BSP1900487,2019,SGN,Air,ABO,FEDEX,06/28/19,06/25/19,FEDEX,4.45,06/24/19,06/25/19,06/28/19,4,06/28/19,06/28/19,0,06/24/19,06/28/19,43531,4,82.5,Green
BSP1900486,2019,SGN,Air,ABO,FEDEX,06/28/19,06/25/19,FEDEX,4.25,06/24/19,06/25/19,06/28/19,4,06/28/19,06/28/19,0,06/24/19,06/28/19,43531,4,82.5,Green
BSP1900485,2019,Miami,Air,A31,ATLAS,06/25/19,06/25/19,EI,41.5,06/24/19,06/25/19,06/25/19,1,06/26/19,06/26/19,1,06/24/19,06/26/19,06/27/19,2,633.9,Green
BSP1900484,2019,Miami,Air,A31,ATLAS,06/25/19,06/25/19,EI,11,06/24/19,06/25/19,06/25/19,1,06/26/19,06/26/19,1,06/24/19,06/26/19,06/27/19,2,599.26,Green
BSP1900483,2019,Miami,Air,A31,ATLAS,06/28/19,06/25/19,EI,385,06/24/19,06/25/19,06/25/19,1,06/26/19,06/26/19,1,06/24/19,06/26/19,06/27/19,2,633.9,Green
BSP1900469,2019,Malaysia,Air,ABO,,06/26/19,06/24/19,FEDEX,13.82,06/20/19,06/20/19,06/24/19,4,06/25/19,06/25/19,1,06/20/19,06/25/19,06/25/19,5,237.11,Green
BSP1900470,2019,SGN,Air,ABO,FEDEX,06/26/19,06/24/19,FEDEX,33.9,06/20/19,06/21/19,06/24/19,4,06/25/19,06/25/19,1,06/20/19,06/25/19,06/28/19,5,431.46,Green
BSP1900465,2019,CTU,Air,ABO,FEDEX,06/24/19,06/24/19,FEDEX,17.11,06/19/19,06/20/19,06/24/19,5,06/25/19,06/25/19,1,06/19/19,06/25/19,43472,6,293.32,Green
BSP1900464,2019,CTU,Air,ABO,,06/24/19,06/24/19,FEDEX,18.86,06/19/19,06/20/19,06/24/19,5,06/25/19,06/25/19,1,06/19/19,06/25/19,43472,6,293.32,Green
BSP1900468,2019,Malaysia,Air,ABO,FEDEX,06/24/19,06/24/19,FEDEX,5.4,06/20/19,06/20/19,06/21/19,1,06/24/19,06/24/19,3,06/20/19,06/24/19,06/25/19,4,92.62,Green
BSP1900462,2019,CKG,Air,,KLM,43472,06/19/19,Weida,22,06/24/19,06/26/19,06/28/19,4,06/28/19,06/28/19,0,06/24/19,06/28/19,43503,4,600,Green
BSP1900453,2019,CKG,Air,ABO,KLM,43472,06/19/19,Weida,148.2,06/21/19,06/24/19,06/26/19,5,06/26/19,06/26/19,0,06/21/19,06/26/19,06/28/19,5,1128.56,Green
IMP1900460,2019,CKG,Air,ABO,KLM,43472,06/18/19,DHL,36,06/25/19,06/26/19,06/30/19,5,43503,43503,2,06/25/19,43503,43531,7,670.4,Green
BSP1900452,2019,CKG,Air,ABO,KLM,43472,06/18/19,Weida,75,06/21/19,06/24/19,06/26/19,5,06/26/19,06/26/19,0,06/21/19,06/26/19,06/28/19,5,1016.95,Green
BSP1900461,2019,MIA,Air,A31,,06/18/19,06/18/19,EI,51.5,06/17/19,06/18/19,06/18/19,1,06/19/19,06/19/19,1,06/17/19,06/19/19,06/24/19,2,63390,Green
BSP1900450,2019,CTU,Air,ABO,KLM,06/24/19,06/17/19,Weida,296.4,06/18/19,06/23/19,06/26/19,8,06/26/19,06/26/19,0,06/18/19,06/26/19,06/28/19,8,5269.36,Green
BSP1900455,2019,CTU,Air,ABO,FEDEX,06/18/19,06/14/19,FEDEX,6,06/14/19,06/14/19,06/19/19,5,06/19/19,06/19/19,0,06/14/19,06/19/19,06/27/19,5,184.4,Green
BSP1900454,2019,CTU,Air,ABO,FEDEX,06/18/19,06/14/19,FEDEX,19.4,06/14/19,06/14/19,06/19/19,5,06/19/19,06/19/19,0,06/14/19,06/19/19,06/27/19,5,293.32,Green
IMP1900447,2019,CQ,Air,ABO,EMIRATES,06/26/19,43805,Weida,41.5,06/20/19,06/24/19,06/26/19,6,06/26/19,06/26/19,0,06/20/19,06/26/19,06/28/19,6,918.48,Green
BSP1900443,2019,CTU,Air,ABO,FEDEX,06/17/19,43775,FEDEX,67.2,43775,43805,06/14/19,3,06/17/19,06/17/19,3,43775,06/17/19,06/17/19,6,863.48,Green
BSP1900442,2019,Miami,Air,A31,ATLAS,43775,43775,EI,30.5,43744,43775,43775,1,43805,43805,1,43744,43805,06/13/19,2,633.9,Green
BSP1900441,2019,Miami,Air,A31,ATLAS,43775,43775,EI,33,43744,43775,43775,1,43805,43805,1,43744,43805,06/13/19,2,368.93,Green
BSP1900440,2019,Miami,Air,A31,,43775,43744,EI,52,43744,43775,43775,1,43805,43805,1,43744,43805,06/13/19,2,498.6,Green
IMP1900444,2019,CD,Air,A31,KLM,06/17/19,43805,Weida,3.5,06/14/19,06/15/19,06/18/19,4,06/19/19,06/19/19,1,06/14/19,06/19/19,06/19/19,5,530,Green
BSP1900437,2019,Wuxi,Air,ABO,FEDEX,06/20/19,43744,FEDEX,4.6,43775,43775,06/13/19,2,06/14/19,06/14/19,1,43775,06/14/19,06/19/19,3,122.84,Green
BSP1900436,2019,Miami,Air,ABO,FEDEX,06/19/19,43652,FEDEX,1.37,43744,43744,43805,2,06/13/19,06/13/19,1,43744,06/13/19,06/24/19,3,123.9,Green
IMP1900432,2019,CD,Air,A31_Wistron,KLM,43805,43591,DHL,34.85,43622,43683,43775,5,43775,43775,0,43622,43775,06/14/19,5,589.6,Green
BSP1900431,2019,CTU,Air,ABO,FEDEX,43744,43591,FEDEX,9.2,43591,43622,43775,6,43805,43805,1,43591,43805,06/13/19,7,191.45,Green
BSP1900427,2019,SGN,Air,ABO,FEDEX,43744,43591,FEDEX,44.9,43530,43530,43652,4,43652,43652,0,43530,43652,43805,4,359.55,Green
BSP1900429,2019,Miami,Air,A31,ATLAS,43591,43591,EI,12,43561,43591,43591,1,43622,43622,1,43561,43622,43652,2,407.35,Green
IMP1900434,2019,KS,Air,A31,KLM,06/29/19,43622,Weida,2299,43775,06/14/19,06/21/19,10,06/24/19,06/24/19,3,43775,06/24/19,06/24/19,13,14000.19,Green
IMP1900412,2019,CD,Air,A31_Wistron,KLM,43805,43561,DHL,26,43622,43683,43775,5,43775,43775,0,43622,43775,06/14/19,5,742.73,Green
BSP1900428,2019,CTU,Air,ABO,KLM,06/21/19,43561,Weida,126.2,43805,06/17/19,06/19/19,7,06/19/19,06/19/19,0,43805,06/19/19,06/19/19,7,1002.08,Green
BSP1900426,2019,Miami,Air,A31,,43561,43561,EI,32.5,43530,43561,43561,1,43591,43591,1,43530,43591,43622,2,633.9,Green
BSP1900425,2019,Miami,Air,A31,,43561,43561,EI,25,43530,43561,43561,1,43591,43591,1,43530,43591,43622,2,633.9,Green
IMP1900430,2019,KS,Air,A31,KLM,06/14/19,43591,Weida,16,43622,43652,43714,3,43744,43744,1,43622,43744,43805,4,806.93,Green
IMP1900421,2019,CQ,Sea,ABO,KOTA LAZIM  ,07/23/19,05/31/19,Asia Shipping,10536.26,43591,43714,43806,37,07/15/19,07/15/19,5,07/30/19,07/17/19,07/19/19,42,1980,Green
IMP1900415,2019,CD,Air,A31_Wistron,,43591,05/30/19,DHL Express ,8.5,43502,43502,43591,3,43622,43622,1,43502,43622,43805,4,332.55,Green
BSP1900416,2019,CKG,Air,ABO,KLM,43622,05/30/19,Weida,22,05/31/19,43502,43561,4,43591,43591,1,05/31/19,43591,43744,5,587.1,Green
IMP1900418,2019,CQ,Sea,ABO,SAN FRANCISCA,07/20/19,05/30/19,Dachser,12178,43561,43652,07/14/19,40,07/15/19,07/15/19,3,07/29/19,07/17/19,07/22/19,43,1600,Green
IMP1900422,2019,KS,Air,A31,LUFTHANSA,43530,05/31/19,Weida,,05/31/19,43471,43530,3,43561,43561,1,05/31/19,43561,43591,4,608,Green
BSP1900413,2019,Miami,Air,A31,ATLAS,43530,05/29/19,Agility,16.5,05/28/19,05/29/19,05/29/19,1,05/30/19,05/30/19,1,05/28/19,05/30/19,05/31/19,2,874.26,Green
BSP1900411,2019,SGN,Air,ABO,,43530,05/28/19,FEDEX,38.1,05/27/19,05/27/19,05/31/19,4,05/31/19,05/31/19,0,05/27/19,05/31/19,43591,4,511.36,Green
BSP1900410,2019,SGN,Air,ABO,FEDEX,43530,05/28/19,FEDEX,15.6,05/27/19,05/27/19,05/29/19,2,05/30/19,05/30/19,1,05/27/19,05/30/19,05/30/19,3,186.12,Green
BSP1900409,2019,SGN,Air,ABO,FEDEX,43530,05/28/19,FEDEX,5.6,05/27/19,05/27/19,05/31/19,4,05/31/19,05/31/19,0,05/27/19,05/31/19,43591,4,82.5,Green
IMP1900417,2019,KS,Sea,A31,MONGOOSE HUNTER,07/22/19,05/30/19,Asia Shipping,451,05/30/19,43530,43592,36,43684,43684,6,07/24/19,43776,07/15/19,42,1909,Green
BSP1900408,2019,CTU,Air,ABO,FEDEX,43530,05/27/19,FEDEX,8.85,05/27/19,05/27/19,05/30/19,3,05/31/19,05/31/19,1,05/27/19,05/31/19,05/31/19,4,191.45,Green
BSP1900407,2019,CTU,Air,ABO,FEDEX,43530,05/27/19,FEDEX,7.23,05/27/19,05/27/19,05/30/19,3,05/31/19,05/31/19,1,05/27/19,05/31/19,43622,4,191.45,Green
BSP1900406,2019,CTU,Air,ABO,,43530,05/27/19,FEDEX,3.31,05/27/19,05/27/19,05/30/19,3,05/31/19,05/31/19,1,05/27/19,05/31/19,43622,4,102.64,Green
IMP1900402,2019,CTU,Air,ABO_Wistron,LUFTHANSA,43622,05/24/19,DHL,2536,05/28/19,43502,43530,6,43561,43561,1,05/28/19,43561,43622,7,19411.75,Green
IMP1900405,2019,CQ,Sea,ABO,MONGOOSE HUNTER ,07/20/19,05/27/19,Asia Shipping,4882.78,05/29/19,43530,43592,37,43684,43684,6,07/23/19,43776,07/15/19,43,1030,Green
IMP1900404,2019,CQ,Sea,ABO_Quanta,VALOR,07/20/19,05/24/19,Asia Shipping,3013.4,05/31/19,43683,43776,41,43806,43806,6,07/25/19,07/17/19,07/18/19,47,1030,Green
IMP1900403,2019,CQ,Sea,ABO_Quanta,VALOR,07/20/19,05/24/19,Asia Shipping,3279.9,05/31/19,43683,43776,41,43806,43806,6,07/25/19,07/17/19,07/18/19,47,1030,Green
BSP1900379,2019,CKG,Air,ABO,LUFTHANSA,43622,05/23/19,Weida,163.2,05/24/19,05/28/19,05/29/19,5,05/30/19,05/30/19,1,05/24/19,05/30/19,05/30/19,6,1232.72,Green
BSP1900378,2019,CKG,Air,ABO,LUFTHANSA,05/30/19,05/23/19,Weida,224.7,05/24/19,05/28/19,05/29/19,5,05/30/19,05/30/19,1,05/24/19,05/30/19,05/31/19,6,2356.16,Green
IMP1900398,2019,CQ,Sea,ABO,COSCO SHIPPING VOLGA,07/13/19,05/23/19,Dachser,13352.54,05/29/19,05/31/19,43531,35,43715,43715,7,07/23/19,43745,43745,42,1600,Green
IMP1900401,2019,CQ,Sea,ABO,COSCO SHIPPING VOLGA,07/13/19,05/24/19,Dachser,2939.5,05/29/19,05/31/19,43531,35,43684,43684,7,07/23/19,43745,43745,42,800,Green
IMP1900400,2019,CD,Sea,A31,COSCO SHIPPING VOLGA ,43715,05/23/19,Asia Shipping,2476.5,05/24/19,43471,43653,44,43684,43684,3,07/18/19,43745,43745,47,3469,Green
BSP1900391,2019,CTU,Air,ABO,FEDEX,43530,05/22/19,FEDEX,42.01,05/21/19,05/21/19,05/27/19,6,05/27/19,05/27/19,0,05/21/19,05/27/19,05/27/19,6,573.41,Green
BSP1900393,2019,SGN,Air,ABO,FEDEX,,05/22/19,FEDEX,7.95,05/21/19,05/21/19,05/27/19,6,05/27/19,05/27/19,0,05/21/19,05/27/19,05/27/19,6,123.41,Green
BSP1900392,2019,CTU,Air,ABO,FEDEX,43591,05/22/19,FEDEX,42.05,05/21/19,05/21/19,06/13/19,23,06/13/19,06/13/19,0,05/21/19,06/13/19,06/27/19,23,573.41,Green
BSP1900396,2019,SGN,Air,ABO,FEDEX,,05/22/19,FEDEX,41.3,05/20/19,05/20/19,05/23/19,3,05/24/19,05/24/19,1,05/20/19,05/24/19,05/29/19,4,359.55,Green
BSP1900397,2019,SGN,Air,ABO,FEDEX,,05/22/19,FEDEX,8,05/20/19,05/20/19,05/23/19,3,05/24/19,05/24/19,1,05/20/19,05/24/19,05/29/19,4,194.58,Green
BSP1900395,2019,SGN,Air,ABO,,,05/22/19,FEDEX,6,05/20/19,05/20/19,05/23/19,3,05/24/19,05/24/19,1,05/20/19,05/24/19,05/29/19,4,82.5,Green
BSP1900390,2019,CTU,Air,ABO,FEDEX,43530,05/22/19,FEDEX,20.12,05/20/19,05/20/19,05/24/19,4,05/27/19,05/27/19,3,05/20/19,05/27/19,05/29/19,7,293.32,Green
BSP1900389,2019,CTU,Air,ABO,FEDEX,43530,05/22/19,FEDEX,6.38,05/20/19,05/23/19,05/27/19,7,05/28/19,05/28/19,1,05/20/19,05/28/19,05/28/19,8,109.37,Green
BSP1900394,2019,KUL,Air,ABO,,05/30/19,05/22/19,FEDEX,18.5,05/19/19,05/20/19,05/22/19,3,05/23/19,05/23/19,1,05/19/19,05/23/19,05/27/19,4,149.44,Green
IMP1900387,2019,CKG,Air,,LUFTHANSA,43591,05/21/19,DHL,7,05/25/19,05/30/19,43530,9,43530,43530,0,05/25/19,43530,43622,9,303.43,Green
BSP1900385,2019,PEN,Air,ABO,ATLAS,43530,05/21/19,Agility,,05/22/19,05/31/19,05/31/19,9,05/31/19,05/24/19,0,05/22/19,05/31/19,05/31/19,9,16764,Green
BSP1900383,2019,Miami,Air,A31,,05/21/19,05/21/19,EI,44.5,05/20/19,05/21/19,05/21/19,1,05/22/19,05/22/19,1,05/20/19,05/22/19,05/23/19,2,526.66,Green
BSP1900382,2019,Miami,Air,A31,,05/21/19,05/21/19,EI,51,05/20/19,05/21/19,05/21/19,1,05/22/19,05/22/19,1,05/20/19,05/22/19,05/23/19,2,498.6,Green
BSP1900359,2019,KS,Sea,ABO,MSC CHLOE,,05/13/19,Weida,10068,05/17/19,05/21/19,06/23/19,37,06/25/19,06/25/19,5,43776,06/28/19,06/28/19,42,2000,Green
IMP1900388,2019,CQ,Air,ABO,KLM,43683,05/22/19,Weida,135,05/30/19,43471,43591,6,43591,43591,1,05/30/19,43622,43744,7,929.6,Green
BSP1900376,2019,MEMPHIS,Air,ABO,FEDEX,,05/16/19,FEDEX,3.52,05/14/19,05/16/19,05/16/19,2,05/17/19,05/17/19,1,05/14/19,05/17/19,05/20/19,3,27.83,Green
IMP1900377,2019,CQ,Sea,ABO,COSCO SHIPPING THAMES,07/13/19,05/17/19,Asia Shipping,4940.8,05/22/19,05/25/19,06/27/19,36,43472,43472,6,07/16/19,43531,43562,42,1030,Green
IMP1900374,2019,CQ,Sea,ABO,COSCO SHIPPING THAMES,43623,05/16/19,Asia Shipping,18020.95,05/20/19,05/25/19,06/28/19,39,43472,43472,5,07/14/19,43531,43592,44,2930,Green
IMP1900399,2019,CQ,Sea,ABO,COSCO SHIPPING VOLGA,07/13/19,05/24/19,Dachser,16641.49,05/29/19,05/31/19,43531,35,43684,43684,7,07/23/19,43745,43745,42,2400,Green
BSP1900370,2019,VIETNAM,Air,ABO,FEDEX,,05/14/19,FEDEX,7.8,05/13/19,05/14/19,05/17/19,4,05/17/19,05/17/19,0,05/13/19,05/17/19,05/20/19,4,98.83,Green
BSP1900369,2019,MALAYSIA,Air,ABO,FEDEX,05/21/19,05/14/19,FEDEX,4.98,05/14/19,05/14/19,05/16/19,2,05/17/19,05/17/19,1,05/14/19,05/17/19,05/17/19,3,80.59,Green
BSP1900368,2019,VIETNAM,Air,ABO,FEDEX,,05/14/19,FEDEX,38.8,05/13/19,05/14/19,05/16/19,3,05/17/19,05/17/19,1,05/13/19,05/17/19,05/17/19,4,359.55,Green
BSP1900366,2019,CQ,Air,ABO,KLM,05/28/19,05/14/19,Weida,146,05/15/19,05/20/19,05/22/19,7,05/22/19,05/22/19,0,05/15/19,05/22/19,05/27/19,7,1173.2,Green
BSP1900365,2019,MIAMI,Air,A31,ATLAS,,05/14/19,EI,19.5,05/13/19,05/14/19,05/14/19,1,05/15/19,05/28/19,15,05/13/19,05/29/19,05/24/19,16,545.88,Red
BSP1900364,2019,MIAMI,Air,A31,ATLAS,,05/14/19,EI,42.5,05/13/19,05/14/19,05/14/19,1,05/15/19,05/15/19,1,05/13/19,05/15/19,05/17/19,2,576.85,Green
BSP1900363,2019,MIAMI,Air,A31,ATLAS,,05/14/19,EI,37.5,05/13/19,05/14/19,05/14/19,1,05/15/19,05/15/19,1,05/13/19,05/15/19,05/17/19,2,576.85,Green
IMP1900371,2019,KS,Air,A31,KLM,05/30/19,05/14/19,Weida,17,05/15/19,05/17/19,05/22/19,7,05/22/19,05/22/19,0,05/15/19,05/22/19,05/27/19,7,59190,Green
IMP1900361,2019,KS,Air,A31,KLM,43471,05/13/19,Weida,959.2,05/14/19,05/17/19,05/21/19,7,05/22/19,05/22/19,2,05/14/19,05/23/19,05/24/19,9,7437.55,Green
IMP1900358,2019,CQ,Sea,ABO,ITAL LUNARE  ,06/29/19,43743,Asia Shipping,9820.97,05/14/19,05/19/19,06/21/19,38,06/24/19,06/24/19,5,43684,06/26/19,06/28/19,43,1980,Green
IMP1900355,2019,CQ,Air,ABO,,,43713,Weida,528.58,43743,05/16/19,05/17/19,7,05/20/19,05/20/19,3,43743,05/20/19,05/20/19,10,4926.54,Green
BSP1900348,2019,VIETNAM,Air,ABO,FEDEX,,43651,FEDEX,17.2,43621,43651,43713,3,43743,43743,1,43621,43743,43743,4,186.12,Green
BSP1900347,2019,VIETNAM,Air,ABO,FEDEX,,43651,FEDEX,8.7,43621,43621,43713,3,43743,43743,1,43621,43743,43743,4,123.41,Green
BSP1900346,2019,MIAMI,Air,A31,ATLAS,,43651,EI,35.5,43621,43621,43651,1,43682,43682,1,43621,43682,43682,2,576.85,Green
BSP1900345,2019,MIAMI,Air,A31,ATLAS,,43651,EI,19.5,43621,43621,43651,1,43682,43682,1,43621,43682,43743,2,545.88,Green
BSP1900344,2019,MIAMI,Air,A31,ATLAS,,43651,EI,46.5,43621,43621,43651,1,43682,43682,1,43621,43682,43743,2,576.85,Green
IMP1900352,2019,CQ,Sea,ABO,VALENCE,,43682,Asia Shipping,5976.3,05/14/19,05/18/19,06/20/19,37,06/24/19,06/24/19,7,43684,06/27/19,06/27/19,44,1030,Green
IMP1900351,2019,KS,Air,A31,,,43682,Weida,,43713,43743,05/14/19,5,05/15/19,05/15/19,1,43713,05/15/19,05/17/19,6,403,Green
IMP1900350,2019,CQ,Air,ABO_Wistron,ATLAS,,43713,DHL,11,43743,05/13/19,05/15/19,5,05/16/19,05/16/19,1,43743,05/16/19,05/17/19,6,331.76,Green
IMP1900349,2019,KS,Sea,A31,KOTA LAJU,,43682,Asia Shipping,1666.4,43774,05/13/19,06/16/19,36,06/17/19,06/17/19,3,43592,06/19/19,06/21/19,39,1626.5,Green
BSP1900340,2019,MALAYSIA,Air,ABO,KLM,,43621,Agility,2538,43621,43651,43743,4,43743,43743,0,43621,43743,05/13/19,4,16750.8,Green
BSP1900336,2019,VIETNAM,Air,ABO,FEDEX,,04/30/19,FEDEX,9.8,04/29/19,04/30/19,43529,4,43621,43621,3,04/29/19,43621,43621,7,123.41,Green
BSP1900334,2019,MIAMI,Air,A31,ATLAS,,04/30/19,EI,37.5,04/29/19,04/30/19,04/30/19,1,43501,43501,2,04/29/19,43501,43501,3,576.85,Green
IMP1900337,2019,CD,Sea,A31,KOTA LAJU,,04/30/19,Asia Shipping,1301.5,43682,43804,06/16/19,39,06/17/19,06/17/19,3,43503,06/19/19,06/21/19,42,3021.5,Green
IMP1900338,2019,CQ,Sea,ABO,KOTA LAJU,,04/30/19,Asia Shipping,20883.6,43682,43804,06/16/19,39,06/17/19,06/17/19,3,43503,06/19/19,06/21/19,42,3880,Green
IMP1900324,2019,CD,Air,A31_Wistron,LUFTHANSA,,04/29/19,DHL,8,43501,43590,43651,5,43682,43682,1,43501,43682,43713,6,303.43,Green
BSP1900330,2019,CD,Air,ABO,FEDEX,,04/29/19,FEDEX,8.71,04/29/19,04/30/19,43529,4,43621,43621,3,04/29/19,43621,43621,7,184.4,Green
BSP1900329,2019,CD,Air,ABO,FEDEX,,04/29/19,FEDEX,10.71,04/29/19,04/30/19,43529,4,43621,43621,3,04/29/19,43621,43621,7,184.4,Green
IMP1900354,2019,CQ,Sea,ABO_Quanta,VALENCE,,43713,Asia Shipping,3275.1,05/13/19,05/18/19,06/20/19,38,06/24/19,06/24/19,7,43653,06/27/19,06/27/19,45,1030,Green
IMP1900343,2019,CQ,Sea,ABO_Quanta,VALENCE,,43621,Asia Shipping,3606,05/14/19,05/18/19,06/21/19,38,06/24/19,06/24/19,6,43684,06/27/19,06/28/19,44,1030,Green
IMP1900333,2019,KS,Air,A31,LUFTHANSA,,04/29/19,Weida,2.2,04/30/19,43501,43529,3,43621,43621,3,04/30/19,43621,43621,6,403,Green
IMP1900328,2019,CD,Air,A31_Wistron,LUFTHANSA,,04/26/19,DHL,1008,04/30/19,43590,43651,7,43682,43682,1,04/30/19,43682,43713,8,7650.73,Green
