IMP,Year,Shipping_From,Ship_via,Customer,FLT#/Vessle#,Original_Need_Date,CEB_authorized_date,Forwarder,Gross_weight(kg),Pickup_day,ETD_port,ETA_Santos_or_VCP,Sailing_TAT,DI_register_date,Customs_clearance_date,Clearance_TAT,KPI_expect_arrive_CEB_date,FIRM_ARRIVAL_on_CEB,CEB_LGC_estimated_receiving_date,Door_to_Door_TAT,International_Transportation_Cost_(USD),Channel
BSP1900054,2019,MEM,Air,ABO,FEDEX,,01/22/19,FEDEX,13.65,01/21/19,01/22/19,01/23/19,2,01/24/19,01/24/19,1,01/21/19,01/24/19,01/24/19,3,186.12,Green
BSP1900062,2019,KS,Sea,ABO,MSC JEONGMIN,,01/22/19,Weida,12218.5,01/24/19,43498,43588,40,43649,43649,3,03/20/19,43680,43680,43,3200,Green
BSP1900056,2019,CKG,Air,ABO,KLM,,01/22/19,Weida,324,01/23/19,01/28/19,43467,9,43467,43467,0,01/23/19,43467,43467,9,3323.36,Green
IMP1900053,2019,CD,Sea,A31_Wistron,VALIANT,,01/22/19,DHL,620,01/22/19,43526,43711,46,03/13/19,03/13/19,4,03/18/19,03/13/19,03/13/19,50,3967.35,Green
BSP1900052,2019,KS,Air,A31,ATLAS,,01/22/19,EI,64,01/21/19,01/21/19,01/22/19,1,01/23/19,01/23/19,1,01/21/19,01/23/19,01/23/19,2,1069.23,Green
IMP1900061,2019,CQ,Sea,ABO_Quanta,CMA CGM CARL ANTOINE,,01/22/19,Asia Shipping,2272.5,01/25/19,43526,03/14/19,48,03/15/19,03/15/19,4,03/21/19,03/18/19,03/18/19,52,1195,Green
IMP1900048,2019,KS,Air,,KLM,,01/18/19,Weida,41,01/23/19,01/24/19,01/27/19,4,01/28/19,01/28/19,1,01/23/19,01/28/19,01/28/19,5,835,Green
IMP1900068,2019,CQ,Sea,ABO_Wistron,CMA CGM CARL ANTOINE,,01/23/19,Asia Shipping,4386,01/25/19,43526,03/14/19,48,03/15/19,03/15/19,5,03/21/19,03/19/19,03/19/19,53,1195,Green
IMP1900060,2019,CQ,Air,ABO_Quanta,KLM,,01/22/19,Weida,64.5,01/23/19,01/28/19,43467,9,43467,43467,0,01/23/19,43467,43467,9,1703.08,Green
IMP1900058,2019,CQ,Air,ABO,KLM,,01/22/19,Weida,71,01/23/19,01/28/19,43467,9,43467,43467,0,01/23/19,43467,43467,9,1308.88,Green
IMP1900057,2019,KS,Sea,A31,VANTAGE,,01/22/19,Asia Shipping,159.9,01/22/19,01/27/19,02/28/19,37,43468,43468,6,03/18/19,43619,43649,43,1925,Green
BSP1900047,2019,MEM,Air,ABO,FEDEX,,01/17/19,FEDEX,1.8,01/17/19,01/18/19,01/21/19,4,01/21/19,01/21/19,1,01/17/19,01/22/19,01/22/19,5,30.97,Green
BSP1900046,2019,CKG,Air,ABO,FEDEX,,01/17/19,FEDEX,,01/16/19,01/17/19,01/21/19,5,01/22/19,01/22/19,1,01/16/19,01/22/19,01/22/19,6,96.15,Green
IMP1900079,2019,CQ,Sea,ABO,CMA CGM CARL ANTOINE,,01/28/19,Asia Shipping,24190.18,01/28/19,43526,03/14/19,45,03/15/19,03/15/19,5,03/24/19,03/19/19,03/19/19,50,4780,Green
IMP1900059,2019,CQ,Sea,ABO,VANTAGE,,01/22/19,Asia Shipping,9408.1,01/22/19,01/27/19,02/28/19,37,43468,43468,6,03/18/19,43619,43649,43,2390,Green
IMP1900049,2019,CQ,Sea,ABO,VANTAGE,,01/18/19,Asia Shipping,6700,01/22/19,01/27/19,02/28/19,37,43468,43468,6,03/18/19,43619,43649,43,1195,Green
IMP1900051,2019,CQ,Sea,ABO,VANTAGE,,01/18/19,Asia Shipping,4973,01/22/19,01/27/19,02/28/19,37,43468,43468,6,03/18/19,43619,43649,43,1195,Green
IMP1900045,2019,CD,Air,A31,KLM,,01/17/19,Weida,106,01/17/19,01/19/19,01/23/19,6,01/24/19,01/24/19,1,01/17/19,01/24/19,01/24/19,7,1012.2,Green
BSP1900041,2019,MIA,Air,A31,ATLAS,,01/15/19,EI,20.5,01/15/19,01/15/19,01/16/19,1,01/17/19,01/17/19,1,01/15/19,01/17/19,01/17/19,2,571,Green
BSP1900042,2019,VIETNAM,Air,ABO,FEDEX,,01/16/19,FEDEX,12.8,01/15/19,01/15/19,01/21/19,6,01/22/19,01/22/19,1,01/15/19,01/22/19,01/22/19,7,186.12,Green
IMP1900040,2019,CD,Sea,A31_Wistron,VANTAGE,,01/15/19,DHL,3810,01/22/19,01/27/19,02/28/19,37,43468,43468,6,03/18/19,43619,43649,43,5056.62,Green
IMP1900044,2019,KS,Air,A31,KLM,,01/16/19,Weida,87,01/17/19,01/20/19,01/23/19,6,01/24/19,01/24/19,1,01/17/19,01/24/19,01/24/19,7,639.81,Green
IMP1900036,2019,CD,Air,A31_Wistron,KLM,,01/15/19,Weida,4,01/17/19,01/19/19,01/22/19,5,01/23/19,01/23/19,1,01/17/19,01/23/19,01/25/19,6,540,Green
IMP1900038,2019,CD,Air,A31_Wistron,KLM,,01/15/19,Weida,21,01/16/19,01/17/19,01/19/19,3,01/21/19,01/21/19,3,01/16/19,01/22/19,01/22/19,6,555.75,Green
BSP1900033,2019,MIA,Air,A31,ATLAS,,01/15/19,EI,33,01/14/19,01/15/19,01/15/19,1,01/16/19,01/16/19,1,01/14/19,01/16/19,01/16/19,2,481,Green
BSP1900034,2019,MIA,Air,A31,ATLAS,,01/15/19,EI,40,01/14/19,01/15/19,01/15/19,1,01/16/19,01/16/19,1,01/14/19,01/16/19,01/16/19,2,870.63,Green
BSP1900035,2019,MALAYSIA,Air,ABO,FEDEX,,01/15/19,FEDEX,39.86,01/15/19,01/15/19,01/16/19,1,01/18/19,01/18/19,2,01/15/19,01/18/19,01/18/19,3,431.14,Green
BSP1900029,2019,KS,Air,ABO,KLM,,01/14/19,Weida,305,01/15/19,01/21/19,01/23/19,8,01/24/19,01/24/19,1,01/15/19,01/24/19,01/24/19,9,3494.48,Green
BSP1900031,2019,KS,Air,ABO,KLM,,01/14/19,Agility,12.49,01/14/19,01/15/19,01/18/19,4,01/18/19,01/18/19,0,01/14/19,01/18/19,01/18/19,4,293.32,Green
IMP1900037,2019,CQ,Sea,ABO,SAN VICENTE,,01/15/19,DHL,11347.14,01/22/19,01/26/19,43527,40,43649,43649,8,03/18/19,43772,43772,48,2300,Green
IMP1900032,2019,CD,Sea,A31,MOL BEAUTY,,01/14/19,Asia Shipping,1591,01/14/19,01/22/19,02/25/19,42,02/25/19,02/25/19,1,43741,02/26/19,43468,43,3315,Green
IMP1900030,2019,KS,Sea,A31,SEAMAX ROWAYTON,,43770,Asia Shipping,1677.4,01/15/19,01/20/19,02/21/19,37,02/22/19,02/22/19,4,43772,02/25/19,02/27/19,41,1925,Green
IMP1900025,2019,CD,Air,A31_Wistron,KLM,,43739,Weida,91,43770,01/14/19,01/23/19,12,01/24/19,01/24/19,2,43770,01/25/19,01/24/19,14,1523.44,Green
BSP1900023,2019,MIA,Air,A31,ATLAS,,43709,EI,48.5,43678,43678,43709,1,43739,43739,1,43678,43739,01/14/19,2,770.63,Green
